file_path,filename,file_extension,file_size_bytes,is_image,valid,class_folder,sha256
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00001.jpg,Onion00001.jpg,jpg,59815,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,6a7a43a4da83e7ebc299b02af09f0dfb9646d2bc4c64256398ac304456ee5a05
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00002.jpg,Onion00002.jpg,jpg,34574,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,8c746cbacdd2b2055da05086f0d1e6b53bce47560d73c9252be8158f91184b19
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00003.jpg,Onion00003.jpg,jpg,86512,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,933caa9764f13a787dbff0996887682e83bd9d8bf7f957ce11eabc4698bc65ad
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00004.jpg,Onion00004.jpg,jpg,143293,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,49a8c787eda569bbcd5f2f268029ee4aa1a5f0a47e93f358bcc1b4727bb13970
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00005.jpg,Onion00005.jpg,jpg,74074,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,d049306d545628fa11b170b73a683aaba924d8362e30dac81c3e4b010dabebca
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00006.jpg,Onion00006.jpg,jpg,282586,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,408100e9cbb03080348108e6afeb8fc1d28117657501a259b9468ae58e997ffb
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00007.jpg,Onion00007.jpg,jpg,51659,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,3b012725775da99a29e892ac009babf1d094517c6cad0284ad8a4207fb30abec
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00008.jpg,Onion00008.jpg,jpg,42720,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,a7ae18f994b2beb245607690dedc32e2f8091a6d6e651b0d27904ccc24887ee9
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00009.jpg,Onion00009.jpg,jpg,34535,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,5efdfd42622200f7cc443bbf36bc79fda474690e177eca9da6298e72ddcfd307
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00010.jpg,Onion00010.jpg,jpg,48568,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,884b636f3f275503eccaefb7388f5596155ccb059b374a217653e888b75981f0
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00011.jpg,Onion00011.jpg,jpg,35458,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,b23c230f88b4f1f55b2e8595c29733197568b9b26d40d6e708eedd3cf9544314
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00012.jpg,Onion00012.jpg,jpg,158586,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,19aa2b2478e7abdf20b56c133f94718ed03a756a0fdb33adc250adf35241a689
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00013.jpg,Onion00013.jpg,jpg,53877,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,3627aaf857f2c71c7263274826d145a5c0e1b3b17e5fd8720f4595b44d84199c
New Onion - Copy/1. Leaves/1. Healthy/1. Single/Onion00014.jpg,Onion00014.jpg,jpg,54836,True,True,New Onion - Copy/1. Leaves/1. Healthy/1. Single,b207bffe5ea89fd9e3496190d0be24c186b60ec312c5d176a4bffcc84b3f0fa4
